                 res               x                y               z
           137.38673        28.43762        111.85696     -1976.61853
            10.98809       105.20900       1586.47852      -338.13141
            36.46783        44.80997        784.15369     -1827.35999
            34.91269       335.83511      -1269.67932     -1916.77673
            39.11551       165.70770       -718.15442     -1960.99756
           125.42409       320.26523        182.57658     -1918.59717
            71.18200       140.99878        868.27588     -1863.45715
            26.71796       212.56950       -915.17706     -1994.83081
            66.33438         2.74504        557.28845     -1982.84253
           114.85994        39.33339         73.67377     -2097.72021
            18.70231        24.84339        685.29535     -1794.10742
            49.20322       322.59457      -1413.65991     -1707.14319
           178.69666        89.56928       -209.89813     -2045.95618
            53.16481       390.50766       -823.63220     -1957.74805
            27.54058        24.87472       -885.55072     -2017.70789
            36.51960       215.26976        572.03876     -1901.06177
            28.04675        95.71061      -1072.18164     -1898.21082
           333.53839       257.39215       -147.02827     -2073.82837
             3.93073       389.11475       1388.01074     -1255.36084
            34.92673        15.70243      -1215.98682     -1933.86230
             2.68000       338.31631       1168.54614     -1300.95874
             8.08200        39.18010        -29.89548      -599.11304
            23.24535       148.81525         14.39401     -1275.15601
            21.18506       194.73212      -1091.67017     -1979.02588
             6.14086       338.57147        678.77344     -1063.14807
            27.07635       161.97928      -1106.24500     -1968.94055
            52.74407         1.47545      -1577.06494     -1574.01123
            28.78322        58.89420       1721.89392     -1671.28198
            99.31937       229.80557        -76.69215     -2092.07251
             6.22213       396.00275        809.55206     -1033.75818
           154.60838       298.29703       -537.84705     -2030.93274
             6.87657       399.66736        607.55371     -1713.10181
            90.97412       188.79118        -35.91885     -1977.55029
            44.43821        64.29855        747.37244     -1892.00195
           105.53118       139.90665        194.81474     -1939.85583
             9.88158       249.29556       1541.65015     -1437.55408
           377.21832       307.27640       -153.11485     -2074.22607
           101.61147       313.95752        589.88403     -1970.92749
            65.69860        88.87115      -1281.85901     -1223.48596
           146.03325       213.23750         75.80431     -2072.61206
           133.88390       144.02692         87.21141     -2077.68701
            41.09225       142.06390        -87.21150     -2107.37817
            48.22560       388.28400      -1491.33582     -1936.34448
           294.82248       231.79346       -362.98987     -2082.18677
            36.07148       304.06845      -1333.52710     -1746.27954
            32.13153        89.87245      -1201.70227     -1932.73987
             4.59701       173.38092        690.17932     -1087.79688
            25.00638       184.29648      -1878.62769      -306.56195
            27.54058        47.41856       -933.33459     -2016.16455
            27.07635       134.67377      -1144.53455     -1966.90100
            35.02415        92.13191      -1024.43359     -1838.78137
            31.09551        94.52374       -837.00458     -2008.39417
             4.85569       336.05865       1744.60669     -1389.89551
             4.35550       142.44101       1874.50024     -1350.97314
            36.54587        29.15564       1655.41602     -1709.76660
            89.03259       366.36139        757.26971     -1839.70349
           493.27835       294.07648       -341.96167     -2119.65771
            43.48080       348.82056      -1463.68506     -1936.98975
            75.54292       243.21362        331.51944     -1936.19226
            67.95087       229.65373        504.08224     -1978.92993
            70.69669       263.77960       1505.27795     -1628.40881
           106.38979       232.13229       -549.84497     -2055.91870
            22.20230        53.12807       1283.46753     -1765.31812
             4.35550        46.25310       1826.95374     -1235.01758
           155.52939       210.60741       -133.67546     -2050.04980
            19.28593        38.02000       1683.92224     -1583.39233
            22.08021       289.13211      -1082.23193     -1959.88049
            37.58527       342.10693      -1392.77600     -1944.22510
             2.00023       313.18121       1881.52673      -848.57721
            77.07407       272.58563      -1554.97400     -1599.33789
            59.38299       280.65775      -1503.77209     -1659.58313
             7.83136       203.51398        690.27521     -1556.67029
           327.07477       320.31219       -242.64819     -1927.53101
            30.26689       132.46835       -902.26471     -1646.91956
            46.75601       328.16098      -1842.51550     -1766.73975
            44.65380       388.81561        967.45868     -1815.28394
            32.05991       218.45477       -851.04993     -2009.77148
            40.12274       318.96786      -1140.18518     -1407.83862
             7.68513       319.56091        592.55652     -1372.44922
            24.95605        97.25403      -1018.04974     -1936.91260
            70.72245       205.88654        648.51196     -1954.20276
           143.86478       319.50552        -37.53103     -1895.17944
            87.89088       177.61113        735.51666     -1936.72632
